"","atnd_experience","ambiente","ambiente_aberta","Food_Quality","novo_diferente","denovo_manter","mudanca_notavel","flag_cliente_novo","Date_Time"
"319","tem atencao","conforto","O estilo moderno e acolhedor do interior.",5,"","facil acesso","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-25 11:00:00
"320","habilidosos","acessibilidade","A limpeza e organização do local foram impecáveis.",3,"","","O tempo de espera pela comida diminuiu significativamente.",1,2023-12-01 21:00:00
"321","habilidosos","estacionamento","",2,"","o milkshake, eu viria só por ele","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-11-22 20:00:00
"322","comente","instagramavel","A limpeza e organização do local foram impecáveis.",5,"","lugar arrumado","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-12-06 12:00:00
"323","habilidosos","temperatura","O sorriso e a simpatia dos funcionários.",2,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-12-02 11:00:00
"324","comente","conforto","O sorriso e a simpatia dos funcionários.",4,"Mais variedade de cervejas artesanais.","lugar arrumado","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-07 19:00:00
"325","tem atencao","acessibilidade","A limpeza e organização do local foram impecáveis.",2,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","organização do ambiente","",0,2023-11-21 09:00:00
"326","comente","estacionamento","O sorriso e a simpatia dos funcionários.",2,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","",0,2023-12-05 02:00:00
"327","habilidosos","conforto","",4,"Adoraria ver mais opções de sobremesas sem glúten.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","O tempo de espera pela comida diminuiu significativamente.",0,2023-12-04 13:00:00
"328","habilidosos","conforto","",4,"Mais variedade de cervejas artesanais.","as sobremesas são maravilhosas, nunca mudem","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-10 06:00:00
"329","gente boa","temperatura","",3,"Adoraria ver mais opções de sobremesas sem glúten.","","",0,2023-11-26 02:00:00
"330","organização","estacionamento","O sorriso e a simpatia dos funcionários.",2,"","organização do ambiente","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-12-15 02:00:00
"331","habilidosos","temperatura","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Gostaria de ver opções de pratos veganos no menu.","o milkshake, eu viria só por ele","",0,2023-11-28 03:00:00
"332","gente boa","instagramavel","",2,"","banheiros cheirosos","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-14 16:00:00
"333","tem atencao","conforto","O sorriso e a simpatia dos funcionários.",5,"Mais variedade de cervejas artesanais.","","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-12-30 03:00:00
"334","gente boa","temperatura","O estilo moderno e acolhedor do interior.",1,"Adoraria ver mais opções de sobremesas sem glúten.","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",1,2023-12-14 22:00:00
"335","tem atencao","temperatura","O sorriso e a simpatia dos funcionários.",3,"Seria melhor se o restaurante aceitasse reservas online.","organização do ambiente","Notei que o menu foi atualizado com mais opções saudáveis.",1,2023-12-22 21:00:00
"336","organização","acessibilidade","A música ambiente estava perfeita, não muito alta nem muito baixa.",1,"Mais variedade de cervejas artesanais.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-11-05 07:00:00
"337","gente boa","estacionamento","",2,"","banheiros cheirosos","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-11-20 23:00:00
"338","organização","estacionamento","O sorriso e a simpatia dos funcionários.",2,"Seria melhor se o restaurante aceitasse reservas online.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Está mais organizado, especialmente a área de espera por mesas.",0,2023-11-10 19:00:00
"339","comente","instagramavel","A limpeza e organização do local foram impecáveis.",2,"","facil acesso","A música ambiente mudou e agora está mais agradável.",0,2023-12-11 20:00:00
"340","habilidosos","acessibilidade","A música ambiente estava perfeita, não muito alta nem muito baixa.",3,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","A música ambiente mudou e agora está mais agradável.",1,2023-12-22 06:00:00
"341","gente boa","acessibilidade","O sorriso e a simpatia dos funcionários.",4,"","as sobremesas são maravilhosas, nunca mudem","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-11-03 05:00:00
"342","comente","estacionamento","A limpeza e organização do local foram impecáveis.",4,"Seria ótimo ter uma área para crianças brincarem.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",1,2023-12-14 13:00:00
"343","tem atencao","instagramavel","A limpeza e organização do local foram impecáveis.",1,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","lugar arrumado","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-25 14:00:00
"344","organização","estacionamento","",4,"","","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",1,2023-12-13 18:00:00
"345","tem atencao","acessibilidade","",3,"Poderiam melhorar a acústica do local para reduzir o ruído.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","",0,2023-12-20 01:00:00
"346","tem atencao","conforto","",3,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-25 07:00:00
"347","comente","acessibilidade","",3,"","","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-21 04:00:00
"348","gente boa","instagramavel","O estilo moderno e acolhedor do interior.",5,"","facil acesso","A música ambiente mudou e agora está mais agradável.",0,2023-12-09 03:00:00
"349","habilidosos","estacionamento","",3,"Espero que o tempo de espera para ser atendido seja menor.","","Está mais organizado, especialmente a área de espera por mesas.",0,2023-11-06 12:00:00
"350","comente","temperatura","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Espero que o tempo de espera para ser atendido seja menor.","organização do ambiente","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-12-26 08:00:00
"351","tem atencao","conforto","A limpeza e organização do local foram impecáveis.",1,"","organização do ambiente","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-11-21 05:00:00
"352","organização","temperatura","O estilo moderno e acolhedor do interior.",3,"Espero que o tempo de espera para ser atendido seja menor.","facil acesso","",0,2023-11-07 20:00:00
"353","organização","acessibilidade","",4,"","","",0,2023-11-09 07:00:00
"354","comente","temperatura","",5,"Gostaria de ver opções de pratos veganos no menu.","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-11-06 01:00:00
"355","tem atencao","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",2,"Mais variedade de cervejas artesanais.","o milkshake, eu viria só por ele","Está mais organizado, especialmente a área de espera por mesas.",0,2023-11-20 21:00:00
"356","habilidosos","acessibilidade","A música ambiente estava perfeita, não muito alta nem muito baixa.",2,"","facil acesso","",0,2023-12-04 12:00:00
"357","gente boa","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",3,"Mais variedade de cervejas artesanais.","","",0,2023-12-21 14:00:00
"358","tem atencao","acessibilidade","A limpeza e organização do local foram impecáveis.",2,"Adoraria ver mais opções de sobremesas sem glúten.","facil acesso","",0,2023-12-19 05:00:00
"359","habilidosos","conforto","A limpeza e organização do local foram impecáveis.",4,"Espero que o tempo de espera para ser atendido seja menor.","as sobremesas são maravilhosas, nunca mudem","Está mais organizado, especialmente a área de espera por mesas.",0,2023-12-21 15:00:00
"360","organização","acessibilidade","O estilo moderno e acolhedor do interior.",1,"Poderiam melhorar a acústica do local para reduzir o ruído.","o milkshake, eu viria só por ele","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-01 09:00:00
"361","habilidosos","estacionamento","A música ambiente estava perfeita, não muito alta nem muito baixa.",1,"","lugar arrumado","",0,2023-12-26 17:00:00
"362","habilidosos","conforto","",4,"","facil acesso","",1,2023-12-06 20:00:00
"363","habilidosos","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",5,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-11-26 13:00:00
"364","gente boa","temperatura","A limpeza e organização do local foram impecáveis.",5,"Seria ótimo ter uma área para crianças brincarem.","as sobremesas são maravilhosas, nunca mudem","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-20 07:00:00
"365","habilidosos","acessibilidade","",2,"Seria melhor se o restaurante aceitasse reservas online.","","Está mais organizado, especialmente a área de espera por mesas.",0,2023-11-04 09:00:00
"366","gente boa","estacionamento","A iluminação suave e as cores harmoniosas do espaço.",1,"Gostaria de ver opções de pratos veganos no menu.","banheiros cheirosos","",1,2023-12-15 10:00:00
"367","comente","temperatura","A iluminação suave e as cores harmoniosas do espaço.",2,"","banheiros cheirosos","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-11-26 23:00:00
"368","habilidosos","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",5,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Notei que o menu foi atualizado com mais opções saudáveis.",1,2023-12-26 08:00:00
"369","comente","temperatura","O sorriso e a simpatia dos funcionários.",2,"","","",0,2023-12-02 01:00:00
"370","organização","estacionamento","",2,"","lugar arrumado","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-12-18 22:00:00
"371","tem atencao","instagramavel","",5,"Adoraria ver mais opções de sobremesas sem glúten.","banheiros cheirosos","Está mais organizado, especialmente a área de espera por mesas.",1,2023-11-14 08:00:00
"372","habilidosos","acessibilidade","",2,"Espero que o tempo de espera para ser atendido seja menor.","","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-01 06:00:00
"373","organização","temperatura","",3,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","banheiros cheirosos","",0,2023-11-16 01:00:00
"374","habilidosos","estacionamento","A limpeza e organização do local foram impecáveis.",4,"Seria ótimo ter uma área para crianças brincarem.","facil acesso","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-17 19:00:00
"375","habilidosos","temperatura","A limpeza e organização do local foram impecáveis.",5,"Uma noite temática por semana seria interessante.","","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-05 05:00:00
"376","gente boa","estacionamento","O sorriso e a simpatia dos funcionários.",4,"","as sobremesas são maravilhosas, nunca mudem","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-11 21:00:00
"377","comente","acessibilidade","A música ambiente estava perfeita, não muito alta nem muito baixa.",5,"Seria ótimo ter uma área para crianças brincarem.","","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-12-23 01:00:00
"378","gente boa","conforto","",2,"","lugar arrumado","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-04 11:00:00
"379","gente boa","conforto","O sorriso e a simpatia dos funcionários.",3,"Uma noite temática por semana seria interessante.","organização do ambiente","",0,2023-12-15 07:00:00
"380","comente","estacionamento","O estilo moderno e acolhedor do interior.",5,"Gostaria que o cardápio tivesse mais fotos dos pratos.","facil acesso","O tempo de espera pela comida diminuiu significativamente.",1,2023-11-15 05:00:00
"381","habilidosos","temperatura","O sorriso e a simpatia dos funcionários.",4,"Seria melhor se o restaurante aceitasse reservas online.","","A música ambiente mudou e agora está mais agradável.",1,2023-12-29 06:00:00
"382","comente","instagramavel","",2,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","",1,2023-11-02 07:00:00
"383","gente boa","estacionamento","A música ambiente estava perfeita, não muito alta nem muito baixa.",1,"Seria melhor se o restaurante aceitasse reservas online.","","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-27 05:00:00
"384","tem atencao","conforto","",1,"","banheiros cheirosos","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-12-07 05:00:00
"385","comente","temperatura","A limpeza e organização do local foram impecáveis.",4,"","o milkshake, eu viria só por ele","O tempo de espera pela comida diminuiu significativamente.",0,2023-12-07 19:00:00
"386","habilidosos","acessibilidade","",3,"","o milkshake, eu viria só por ele","A música ambiente mudou e agora está mais agradável.",0,2023-12-07 07:00:00
"387","habilidosos","acessibilidade","A música ambiente estava perfeita, não muito alta nem muito baixa.",2,"Gostaria que o cardápio tivesse mais fotos dos pratos.","","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",1,2023-12-25 19:00:00
"388","tem atencao","instagramavel","",5,"Espero que o tempo de espera para ser atendido seja menor.","as sobremesas são maravilhosas, nunca mudem","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-04 14:00:00
"389","tem atencao","estacionamento","A limpeza e organização do local foram impecáveis.",2,"Seria melhor se o restaurante aceitasse reservas online.","","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-12-01 12:00:00
"390","comente","conforto","",5,"","lugar arrumado","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",1,2023-12-06 22:00:00
"391","comente","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",1,"Gostaria que o cardápio tivesse mais fotos dos pratos.","","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-23 19:00:00
"392","tem atencao","conforto","O sorriso e a simpatia dos funcionários.",4,"Seria ótimo ter uma área para crianças brincarem.","organização do ambiente","A música ambiente mudou e agora está mais agradável.",0,2023-11-13 22:00:00
"393","organização","conforto","",2,"Seria melhor se o restaurante aceitasse reservas online.","as sobremesas são maravilhosas, nunca mudem","",0,2023-12-01 12:00:00
"394","comente","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",2,"Seria melhor se o restaurante aceitasse reservas online.","as sobremesas são maravilhosas, nunca mudem","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-12-23 09:00:00
"395","organização","temperatura","O estilo moderno e acolhedor do interior.",4,"Seria melhor se o restaurante aceitasse reservas online.","as sobremesas são maravilhosas, nunca mudem","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-12-01 08:00:00
"396","comente","temperatura","A música ambiente estava perfeita, não muito alta nem muito baixa.",3,"","banheiros cheirosos","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-12-14 17:00:00
"397","tem atencao","instagramavel","A música ambiente estava perfeita, não muito alta nem muito baixa.",3,"Seria ótimo ter uma área para crianças brincarem.","organização do ambiente","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-11-13 12:00:00
"398","habilidosos","estacionamento","O estilo moderno e acolhedor do interior.",5,"","as sobremesas são maravilhosas, nunca mudem","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-14 18:00:00
"399","tem atencao","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"","","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-03 05:00:00
"400","gente boa","instagramavel","A música ambiente estava perfeita, não muito alta nem muito baixa.",2,"","","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-27 09:00:00
"401","comente","temperatura","O estilo moderno e acolhedor do interior.",3,"Adoraria ver mais opções de sobremesas sem glúten.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Está mais organizado, especialmente a área de espera por mesas.",0,2023-12-17 17:00:00
"402","organização","conforto","A limpeza e organização do local foram impecáveis.",1,"Adoraria ver mais opções de sobremesas sem glúten.","organização do ambiente","O tempo de espera pela comida diminuiu significativamente.",1,2023-12-21 04:00:00
"403","habilidosos","acessibilidade","A limpeza e organização do local foram impecáveis.",1,"Gostaria de ver opções de pratos veganos no menu.","facil acesso","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-21 17:00:00
"404","gente boa","conforto","A limpeza e organização do local foram impecáveis.",4,"Seria melhor se o restaurante aceitasse reservas online.","facil acesso","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-25 17:00:00
"405","tem atencao","estacionamento","",5,"Seria melhor se o restaurante aceitasse reservas online.","o milkshake, eu viria só por ele","",0,2023-11-21 20:00:00
"406","habilidosos","temperatura","O sorriso e a simpatia dos funcionários.",4,"Uma noite temática por semana seria interessante.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-11-09 18:00:00
"407","comente","estacionamento","A música ambiente estava perfeita, não muito alta nem muito baixa.",5,"","","",0,2023-12-29 11:00:00
"408","comente","estacionamento","O sorriso e a simpatia dos funcionários.",2,"Poderiam melhorar a acústica do local para reduzir o ruído.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-09 19:00:00
"409","comente","temperatura","",5,"Gostaria que o cardápio tivesse mais fotos dos pratos.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","A música ambiente mudou e agora está mais agradável.",0,2023-12-20 14:00:00
"410","comente","estacionamento","",3,"","organização do ambiente","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-18 09:00:00
"411","gente boa","acessibilidade","",3,"","as sobremesas são maravilhosas, nunca mudem","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-12-30 16:00:00
"412","gente boa","conforto","O sorriso e a simpatia dos funcionários.",5,"Seria ótimo ter uma área para crianças brincarem.","facil acesso","A música ambiente mudou e agora está mais agradável.",0,2023-11-23 21:00:00
"413","organização","temperatura","A limpeza e organização do local foram impecáveis.",5,"Seria ótimo ter uma área para crianças brincarem.","as sobremesas são maravilhosas, nunca mudem","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-15 03:00:00
"414","tem atencao","conforto","O estilo moderno e acolhedor do interior.",3,"Adoraria ver mais opções de sobremesas sem glúten.","as sobremesas são maravilhosas, nunca mudem","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-11-07 20:00:00
"415","gente boa","estacionamento","O sorriso e a simpatia dos funcionários.",4,"Seria ótimo ter uma área para crianças brincarem.","as sobremesas são maravilhosas, nunca mudem","A música ambiente mudou e agora está mais agradável.",0,2023-12-14 03:00:00
"416","gente boa","instagramavel","A limpeza e organização do local foram impecáveis.",3,"Mais variedade de cervejas artesanais.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","",0,2023-12-16 07:00:00
"417","gente boa","temperatura","A iluminação suave e as cores harmoniosas do espaço.",3,"Uma noite temática por semana seria interessante.","facil acesso","Está mais organizado, especialmente a área de espera por mesas.",0,2023-11-24 05:00:00
"418","gente boa","temperatura","",3,"Mais variedade de cervejas artesanais.","","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-12-20
"419","gente boa","estacionamento","",2,"Seria ótimo ter uma área para crianças brincarem.","organização do ambiente","",0,2023-12-29 21:00:00
"420","comente","temperatura","A iluminação suave e as cores harmoniosas do espaço.",2,"","banheiros cheirosos","",0,2023-12-01 02:00:00
"421","organização","conforto","",4,"","","",0,2023-12-08 01:00:00
"422","comente","acessibilidade","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Poderiam melhorar a acústica do local para reduzir o ruído.","facil acesso","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-12-02 07:00:00
"423","gente boa","estacionamento","",2,"Uma noite temática por semana seria interessante.","","",0,2023-12-29 21:00:00
"424","organização","conforto","A iluminação suave e as cores harmoniosas do espaço.",3,"Gostaria que o cardápio tivesse mais fotos dos pratos.","","Notei que o menu foi atualizado com mais opções saudáveis.",1,2023-11-20 17:00:00
"425","comente","instagramavel","O estilo moderno e acolhedor do interior.",2,"","lugar arrumado","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-12-24 11:00:00
"426","gente boa","instagramavel","",4,"Gostaria que o cardápio tivesse mais fotos dos pratos.","organização do ambiente","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-11-08 03:00:00
"427","habilidosos","acessibilidade","O sorriso e a simpatia dos funcionários.",3,"Seria melhor se o restaurante aceitasse reservas online.","","",0,2023-11-28 14:00:00
"428","organização","conforto","",5,"","organização do ambiente","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-12-19 02:00:00
"429","tem atencao","conforto","A iluminação suave e as cores harmoniosas do espaço.",2,"Gostaria de ver opções de pratos veganos no menu.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","",0,2023-11-22 03:00:00
"430","habilidosos","estacionamento","O sorriso e a simpatia dos funcionários.",1,"","","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-21 19:00:00
"431","tem atencao","conforto","",3,"Poderiam melhorar a acústica do local para reduzir o ruído.","o milkshake, eu viria só por ele","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-12-21 23:00:00
"432","tem atencao","conforto","O estilo moderno e acolhedor do interior.",3,"Gostaria de ver opções de pratos veganos no menu.","facil acesso","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-11-11 17:00:00
"433","organização","temperatura","",2,"Adoraria ver mais opções de sobremesas sem glúten.","lugar arrumado","",0,2023-11-27 12:00:00
"434","comente","conforto","O estilo moderno e acolhedor do interior.",5,"","banheiros cheirosos","Está mais organizado, especialmente a área de espera por mesas.",0,2023-12-21 17:00:00
"435","organização","acessibilidade","",4,"Gostaria de ver opções de pratos veganos no menu.","as sobremesas são maravilhosas, nunca mudem","A música ambiente mudou e agora está mais agradável.",0,2023-11-06 21:00:00
"436","habilidosos","temperatura","",2,"Poderiam melhorar a acústica do local para reduzir o ruído.","as sobremesas são maravilhosas, nunca mudem","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-16 07:00:00
"437","tem atencao","acessibilidade","O estilo moderno e acolhedor do interior.",1,"","","Está mais organizado, especialmente a área de espera por mesas.",0,2023-12-03 04:00:00
"438","comente","acessibilidade","A iluminação suave e as cores harmoniosas do espaço.",3,"","facil acesso","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-19 14:00:00
"439","tem atencao","temperatura","A música ambiente estava perfeita, não muito alta nem muito baixa.",1,"","facil acesso","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",1,2023-12-21 04:00:00
"440","habilidosos","acessibilidade","",4,"Adoraria ver mais opções de sobremesas sem glúten.","as sobremesas são maravilhosas, nunca mudem","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-12-03 07:00:00
"441","gente boa","estacionamento","A iluminação suave e as cores harmoniosas do espaço.",2,"","banheiros cheirosos","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-15 04:00:00
"442","habilidosos","conforto","A iluminação suave e as cores harmoniosas do espaço.",5,"","facil acesso","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",1,2023-12-27 11:00:00
"443","tem atencao","instagramavel","A limpeza e organização do local foram impecáveis.",2,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-20 07:00:00
"444","comente","conforto","A limpeza e organização do local foram impecáveis.",2,"Adoraria ver mais opções de sobremesas sem glúten.","","A música ambiente mudou e agora está mais agradável.",0,2023-11-28 12:00:00
"445","habilidosos","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",5,"","","Agora há mais opções de vinhos e coquetéis no cardápio.",1,2023-12-08 21:00:00
"446","organização","instagramavel","",4,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","o milkshake, eu viria só por ele","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",1,2023-12-16 05:00:00
"447","comente","estacionamento","O sorriso e a simpatia dos funcionários.",4,"Poderiam melhorar a acústica do local para reduzir o ruído.","organização do ambiente","",0,2023-11-17 01:00:00
"448","gente boa","acessibilidade","",4,"Gostaria de ver opções de pratos veganos no menu.","","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-25 22:00:00
"449","organização","temperatura","",4,"Espero que o tempo de espera para ser atendido seja menor.","lugar arrumado","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-09 21:00:00
"450","comente","conforto","O estilo moderno e acolhedor do interior.",4,"","organização do ambiente","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",1,2023-11-17 21:00:00
"451","habilidosos","instagramavel","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"","","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-11-12 19:00:00
"452","comente","conforto","A limpeza e organização do local foram impecáveis.",5,"Mais variedade de cervejas artesanais.","","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-06 09:00:00
"453","organização","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Mais variedade de cervejas artesanais.","facil acesso","",0,2023-12-16 21:00:00
"454","gente boa","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",3,"","organização do ambiente","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-16 10:00:00
"455","comente","conforto","A iluminação suave e as cores harmoniosas do espaço.",1,"","","",0,2023-12-21 07:00:00
"456","habilidosos","conforto","",4,"Seria melhor se o restaurante aceitasse reservas online.","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",1,2023-11-12 09:00:00
"457","organização","acessibilidade","A iluminação suave e as cores harmoniosas do espaço.",1,"Seria ótimo ter uma área para crianças brincarem.","banheiros cheirosos","Está mais organizado, especialmente a área de espera por mesas.",1,2023-11-02 12:00:00
"458","comente","conforto","",4,"","","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-26 21:00:00
"459","organização","conforto","",4,"","banheiros cheirosos","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-24 03:00:00
"460","habilidosos","temperatura","A limpeza e organização do local foram impecáveis.",4,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-12-16 13:00:00
"461","comente","estacionamento","A iluminação suave e as cores harmoniosas do espaço.",2,"","","",0,2023-11-27 13:00:00
"462","organização","conforto","A iluminação suave e as cores harmoniosas do espaço.",4,"Poderiam melhorar a acústica do local para reduzir o ruído.","organização do ambiente","A música ambiente mudou e agora está mais agradável.",0,2023-11-07 23:00:00
"463","tem atencao","conforto","O sorriso e a simpatia dos funcionários.",2,"Seria melhor se o restaurante aceitasse reservas online.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Está mais organizado, especialmente a área de espera por mesas.",0,2023-11-03 22:00:00
"464","comente","acessibilidade","O estilo moderno e acolhedor do interior.",3,"","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-11-05 05:00:00
"465","gente boa","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",3,"","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-11-03 04:00:00
"466","tem atencao","instagramavel","A limpeza e organização do local foram impecáveis.",4,"Adoraria ver mais opções de sobremesas sem glúten.","lugar arrumado","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-11 20:00:00
"467","habilidosos","acessibilidade","A música ambiente estava perfeita, não muito alta nem muito baixa.",3,"Adoraria ver mais opções de sobremesas sem glúten.","o milkshake, eu viria só por ele","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",1,2023-12-02 05:00:00
"468","organização","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Seria melhor se o restaurante aceitasse reservas online.","banheiros cheirosos","",0,2023-11-12 03:00:00
"469","gente boa","instagramavel","A limpeza e organização do local foram impecáveis.",5,"Gostaria que o cardápio tivesse mais fotos dos pratos.","as sobremesas são maravilhosas, nunca mudem","A música ambiente mudou e agora está mais agradável.",0,2023-11-23 17:00:00
